Rooms,Footage,Rent,address,title,description,street,city,canton,Address_Latitude,Address_Longitude,City_Latitude,City_Longitude,Distance_to_City_Center(km)
5.5,150,2480,"Hofackerstrasse 6, 8444 Henggart, ZH",«Tolle 5.5-Zimmer-Maisonettewohnung an bevorzugter Wohnlage»,Wir vermieten per 1. Oktober 2023 eine moderne 5.5-Zimmer-Dachmaisonettewohnung an verkehrsberuhigter Lage in Henggart.Facts:-grosszügiger Grundriss-schöner gedeckter Balkon-Lift von Untergeschoss/Tiefgarage-Parkettboden in allen Räumen / Platten in Küche und Nasszellen-moderne offene Küche-Zwei Nasszellen mit Qualitätsprodukten-eigener Waschturm im BadezimmerNebenobjekte:Einstellplatz in Tiefgarage monatlich Fr. 120.-Eine Besichtigung lohnt sich auf jeden Fall. Wir freuen uns auf Ihren Anruf.,Hofackerstrasse 6,8444 Henggart,ZH,47.56320685,8.6841107,47.5632291,8.6835729,0.04042782481491617
3.5,63,1740,"Schmittegass 11, 8197 Rafz, ZH",«Schöne Neubau-Wohnung an zentraler Lage»,,Schmittegass 11,8197 Rafz,ZH,47.6129871,8.537848620715096,47.6115934,8.5402669,0.2384910780980133
3.5,104,2270,"Zürcherstrasse 163, 8406 Winterthur, ZH",«Grosszügige Wohnung in Winterthur»,,Zürcherstrasse 163,8406 Winterthur,ZH,47.4915483,8.7067532,47.4991723,8.7291498,1.884124742034119
3.5,83,2290,"Usterstrasse 125, 8620 Wetzikon ZH, ZH",«Erstvermietung - 3.5 Zimmerwohnung zu vermieten»,,Usterstrasse 125,8620 Wetzikon ZH,ZH,47.3291802,8.784964803345634,47.3226925,8.7980939,1.2245938901891844
2.5,57,1580,"Mörlerstrasse 22, 8248 Uhwiesen, ZH","«Moderne, sonnige 2,5-Zimmerwohnung an ruhiger Lage in Uhwiesen»",,Mörlerstrasse 22,8248 Uhwiesen,ZH,47.66966735,8.641022231490386,47.6709937,8.6350982,0.46745593741489583
2.5,60,2600,"Buchserstrasse, 8157 Dielsdorf, ZH","«Möblierte Wohnung Zürich: 2,5 Zimmer mit Terrasse»",,Buchserstrasse,8157 Dielsdorf,ZH,47.4766895,8.4528328,47.4810371,8.4543245,0.4962591064838227
2.5,73,3250,"Marktgasse 13, 8302 Kloten, ZH",«Modern Apartments Zurich Airport»,,Marktgasse 13,8302 Kloten,ZH,47.4499624,8.5837224,47.4525133,8.5861477,0.33721206077315885
3.5,85,2040,"Im Hof 3, 8471 Oberwil (Dägerlen), ZH",«3.5-ZWG Neuer Lebensstil zugunsten von Umwelt und Klima»,,Im Hof 3,8471 Oberwil (Dägerlen),ZH,47.5723892,8.71616559821252,47.5733263,8.7160031,0.10491140242715637
1.0,25,1450,"Bergstrasse, 8107 Buchs ZH, ZH","«Möbliertes Zimmer mit eigenem Bad, Sat-TV, Internet, Reinigung»",,Bergstrasse,8107 Buchs ZH,ZH,47.4608842,8.4384998,47.458087,8.4378662,0.31466083361618447
4.5,118,2830,"Glärnischstrasse 17, 8632 Tann, ZH",«Gratis Einstellplatz in den ersten 3 Monaten»,,Glärnischstrasse 17,8632 Tann,ZH,47.2648746,8.848607310748616,47.2678411,8.8521174,0.42303265332293094
